province,district,sector,property_type,bedrooms,bathrooms,square_meters,parking_spaces,year_built,furnished,nearby_school,nearby_hospital,nearby_road,security_level,internet_access,market_demand,house_condition,land_size,predicted_market_value
Kigali City,Nyarugenge,Kigali,Villa,5,5,191,1,2004,1,1,1,1,2,2,1,2,560,159700000
Southern Province,Kamonyi,Nyamiyaga,House,2,1,95,2,1996,1,1,0,1,2,1,1,1,410,26700000
Southern Province,Nyaruguru,Cyahinda,Apartment,3,2,78,2,2012,1,0,1,1,1,2,2,1,340,21600000
Southern Province,Nyaruguru,Ngoma,Villa,3,3,120,0,2018,1,1,1,0,2,2,0,0,410,33700000
Northern Province,Gakenke,Gakenke,Apartment,3,3,88,2,2011,1,1,1,1,2,2,1,2,400,39700000
Northern Province,Rulindo,Tumba,Villa,4,3,138,2,2003,0,1,1,1,2,2,0,1,240,39500000
Eastern Province,Kirche,Mahama,House,3,3,85,1,2002,1,1,1,1,0,1,0,0,250,23400000
Southern Province,Kamonyi,Nyamiyaga,Apartment,1,1,47,0,2015,1,1,1,1,1,1,0,2,200,12100000
Eastern Province,Rwamagana,Nzige,Apartment,1,1,54,1,2020,1,1,0,1,2,1,1,1,260,14400000
Northern Province,Gakenke,Muzo,House,3,3,145,1,2010,1,0,1,1,2,2,1,1,380,50600000
Western Province,Ngororero,Gatumba,House,4,3,157,1,1996,1,1,1,1,0,2,1,1,500,43500000
Southern Province,Huye,Maraba,Villa,4,3,199,1,2016,1,0,1,1,0,2,2,2,850,87000000
Northern Province,Rulindo,Shyorongi,Villa,3,2,147,0,2007,0,1,0,1,2,1,0,2,700,56200000
Western Province,Nyamasheke,Nyamasheke,Apartment,3,2,99,2,2002,1,1,1,1,2,1,1,2,330,28400000
Western Province,Ngororero,Gatumba,House,5,4,204,3,2007,0,1,1,1,1,2,1,0,920,87100000
Southern Province,Nyanza,Kigoma,Apartment,3,2,79,0,2023,1,1,0,1,1,1,0,2,240,21200000
Eastern Province,Kayonza,Mwiri,House,3,2,134,1,2022,1,1,1,1,0,2,1,2,270,34500000
Northern Province,Gakenke,Coko,Villa,3,3,160,0,1997,1,1,1,1,1,0,1,1,550,48100000
Northern Province,Gakenke,Minazi,Mansion,5,4,308,2,1996,1,1,1,1,2,2,1,2,530,94400000
Northern Province,Burera,Bungwe,Villa,3,3,102,2,2016,1,1,0,1,2,1,0,0,380,41400000
Western Province,Rusizi,Gikundamvura,Villa,4,3,142,1,2003,0,1,0,1,2,2,1,0,540,41600000
Eastern Province,Kirche,Nasho,Mansion,5,4,247,3,2013,1,1,1,0,0,1,1,1,780,106600000
Eastern Province,Nyagatare,Kiyombe,Apartment,2,1,50,1,1999,1,1,1,1,2,1,2,1,110,11200000
Kigali City,Nyarugenge,Mageragere,Apartment,2,2,62,1,2011,1,0,1,1,2,1,0,2,260,37300000
Western Province,Ngororero,Gatumba,Mansion,5,4,298,1,2014,1,1,1,1,1,1,1,2,810,136000000
Western Province,Ngororero,Nyange,House,2,2,85,2,2009,1,0,1,1,1,1,2,1,130,21800000
Northern Province,Gicumbi,Byumba,House,3,3,142,2,2023,1,1,1,1,2,1,1,2,560,63800000
Eastern Province,Kirche,Musaza,House,4,3,139,0,2025,1,1,1,1,1,2,0,1,470,41800000
Northern Province,Rulindo,Bushoki,Apartment,1,1,36,1,2008,1,1,0,1,0,1,0,2,100,8300000
Kigali City,Nyarugenge,Nyamirambo,Mansion,5,5,282,1,2020,1,1,1,1,1,1,1,1,1110,255700000
Northern Province,Burera,Ruhunde,House,3,3,147,1,2013,0,0,1,1,1,1,1,0,730,57000000
Northern Province,Musanze,Busogo,House,3,3,157,3,2007,1,1,1,1,1,2,2,0,260,46000000
Western Province,Ngororero,Gatumba,House,3,3,101,1,2021,1,1,1,1,1,2,1,2,260,31000000
Eastern Province,Ngoma,Kazo,Apartment,2,1,69,1,2005,0,1,1,1,1,2,1,2,190,13600000
Southern Province,Nyamagabe,Buruhukiro,Mansion,5,5,209,2,2011,1,1,1,1,1,2,1,2,560,79200000
Eastern Province,Rwamagana,Nzige,Villa,3,2,146,1,2004,1,1,1,1,1,1,1,1,560,44800000
Southern Province,Gisagara,Nyanza,Apartment,2,1,60,2,2020,0,1,1,1,1,2,0,1,200,13900000
Southern Province,Nyanza,Nyanza,Apartment,1,1,48,3,2008,1,0,0,1,0,2,2,1,190,13600000
Southern Province,Kamonyi,Rukoma,Villa,3,3,102,2,2021,1,1,1,1,2,1,0,2,270,38100000
Northern Province,Gakenke,Busengo,Mansion,4,4,212,1,2008,1,1,1,1,2,2,1,2,400,68300000
Northern Province,Gicumbi,Mukarange,House,3,3,119,3,2025,1,1,1,1,2,1,1,1,330,45600000
Western Province,Rubavu,Mudende,House,2,1,65,1,2018,0,1,1,1,2,0,2,1,200,15700000
Southern Province,Nyamagabe,Mutarama,Mansion,5,5,319,2,2018,0,1,0,1,0,2,2,1,1210,122900000
Southern Province,Nyaruguru,Nyagisozi,Villa,4,3,175,2,1997,1,1,1,1,1,1,2,2,850,72100000
Kigali City,Kicukiro,Gatenga,House,2,2,86,0,2025,1,1,1,1,1,2,2,2,360,55300000
Western Province,Ngororero,Nyange,House,4,4,129,1,2012,1,1,1,1,1,2,0,1,570,52600000
Southern Province,Nyamagabe,Mwogo,Apartment,3,3,86,2,2020,1,1,1,1,2,2,1,2,350,31600000
Kigali City,Kicukiro,Kicukiro,Mansion,6,6,308,0,2007,1,1,1,1,0,1,1,2,500,313600000
Northern Province,Rulindo,Burega,House,5,4,250,3,2001,1,1,1,1,1,2,2,1,710,101500000
Western Province,Karongi,Rubengera,Mansion,5,5,193,1,2007,1,1,1,1,1,2,1,2,630,72900000
Northern Province,Gakenke,Minazi,Apartment,2,2,58,1,2003,0,1,1,1,0,0,1,2,110,12900000
Eastern Province,Kirche,Gatore,House,2,2,64,2,1996,0,1,1,1,1,0,1,2,130,16000000
Southern Province,Nyaruguru,Mata,Mansion,4,3,220,3,2002,1,1,1,1,0,2,2,2,1010,88800000
Southern Province,Muhanga,Kibangu,Mansion,6,6,302,1,2025,1,1,0,1,2,2,2,2,900,130300000
Western Province,Rusizi,Gihundwe,House,2,2,76,3,1995,1,1,0,1,1,2,0,1,340,18800000
Southern Province,Huye,Maraba,House,3,2,83,2,2000,0,1,1,1,2,2,0,2,200,23500000
Western Province,Rutsiro,Cyanika,Apartment,3,3,78,3,2025,1,1,1,1,1,0,1,1,330,29600000
Eastern Province,Nyagatare,Rukomo,Mansion,5,4,309,2,2020,0,1,1,1,0,2,0,2,540,95800000
Northern Province,Gicumbi,Byumba,Apartment,2,1,97,2,2012,0,1,1,1,2,1,0,2,190,22400000
Southern Province,Huye,Mukura,Villa,5,5,190,0,2016,1,1,1,1,1,1,0,1,360,59900000
Eastern Province,Ngoma,Mugesera,House,3,3,155,2,1996,0,1,1,1,2,1,0,2,460,43800000
Northern Province,Rulindo,Tumba,Villa,4,4,195,2,1998,1,1,1,1,2,1,0,1,970,96800000
Western Province,Karongi,Murambi,House,2,2,63,0,2012,1,1,1,1,0,1,1,2,100,16500000
Northern Province,Rulindo,Tumba,House,3,2,155,1,2020,0,1,1,1,1,1,2,1,670,66700000
Eastern Province,Rwamagana,Musha,Mansion,4,4,204,0,2008,1,0,1,1,1,2,1,1,900,76200000
Southern Province,Kamonyi,Mugina,House,4,3,144,3,2005,1,1,1,1,2,1,1,1,360,40800000
Western Province,Karongi,Rwankuba,Villa,5,5,256,2,2024,1,1,1,1,1,2,2,2,1150,150000000
Northern Province,Gakenke,Mataba,House,4,4,207,2,2011,1,1,1,0,2,2,1,2,660,88200000
Eastern Province,Kayonza,Murundi,Mansion,5,4,285,1,2016,1,1,0,1,1,1,1,2,490,92500000
Western Province,Rutsiro,Nyabirasi,Mansion,5,4,320,2,1995,1,1,1,1,1,1,1,1,750,122700000
Western Province,Ngororero,Hindiro,Apartment,2,2,52,1,2003,0,1,1,1,2,2,1,1,180,15200000
Southern Province,Gisagara,Muganza,House,3,3,150,2,2009,1,1,1,1,1,1,1,0,490,42400000
Eastern Province,Ngoma,Zaza,Villa,5,4,264,1,1998,0,1,1,1,0,0,1,2,830,74300000
Southern Province,Huye,Mukura,Mansion,4,3,183,2,2003,1,1,1,1,2,1,0,2,820,72900000
Southern Province,Huye,Ngoma,Villa,3,3,109,2,2008,0,1,1,1,2,1,0,0,460,41500000
Eastern Province,Kirche,Nyarubuye,House,3,2,157,2,1996,0,1,0,1,1,1,0,2,570,43700000
Northern Province,Gicumbi,Rubaya,House,4,4,200,2,2021,0,1,1,1,1,2,1,1,680,89900000
Eastern Province,Rwamagana,Muyumbu,Villa,4,4,179,0,2005,1,1,1,1,0,1,2,0,560,57000000
Eastern Province,Ngoma,Rurenge,House,3,3,126,3,2014,0,1,1,1,1,1,0,1,590,52000000
Kigali City,Gasabo,Gacuriro,Villa,4,4,191,2,2024,0,1,1,1,2,2,2,1,620,190000000
Northern Province,Rulindo,Shyorongi,Apartment,2,1,83,1,2008,1,0,0,1,1,1,1,2,170,16500000
Southern Province,Ruhango,Bweramana,Apartment,3,2,90,3,2005,0,1,1,1,1,1,1,2,330,23500000
Southern Province,Kamonyi,Ngamba,House,4,3,127,2,1998,1,1,1,1,2,2,1,1,280,39400000
Eastern Province,Kayonza,Kabare,House,3,3,128,0,2017,1,1,0,1,0,2,1,2,550,33700000
Southern Province,Nyamagabe,Rusenge,Mansion,5,4,263,1,2005,0,1,0,1,2,0,0,0,740,102700000
Western Province,Rutsiro,Gihango,Apartment,2,2,73,1,1995,0,0,1,1,1,1,1,1,240,18000000
Eastern Province,Nyagatare,Katabagemu,House,3,3,83,2,2007,1,1,0,1,2,2,0,2,350,26900000
Southern Province,Muhanga,Rongi,House,3,3,102,1,2021,1,1,1,1,2,2,1,1,250,30300000
Southern Province,Gisagara,Ndora,House,4,4,166,2,2023,1,1,1,1,1,2,1,2,570,62100000
Eastern Province,Ngoma,Murama,Apartment,2,1,77,2,2014,0,1,0,1,2,1,2,1,350,23400000
Southern Province,Nyaruguru,Kibeho,House,3,3,151,1,2014,1,0,1,1,2,2,0,2,610,48100000
Eastern Province,Bugesera,Mayange,Villa,4,3,146,1,2020,0,1,1,1,2,1,2,2,620,63200000
Northern Province,Burera,Kagogo,Villa,4,4,121,2,1996,1,1,1,1,0,2,1,1,420,53100000
Western Province,Nyabihu,Kabatwa,House,3,3,158,3,2023,0,1,1,1,1,1,0,1,710,65600000
Kigali City,Nyarugenge,Gitega,Apartment,1,1,38,1,2011,1,0,0,1,1,1,0,1,70,16900000
Western Province,Ngororero,Kavumu,House,4,4,176,2,2014,0,1,1,1,1,2,1,2,550,73100000
Eastern Province,Nyagatare,Gatunda,Villa,3,3,108,1,1996,1,1,0,1,1,2,0,1,240,26800000
Western Province,Nyabihu,Muringa,Villa,3,3,144,0,2025,1,1,1,1,1,0,1,1,580,46200000
Northern Province,Gakenke,Muzo,House,3,3,131,1,2018,1,0,1,1,2,1,2,2,330,51800000
Eastern Province,Rwamagana,Munyiginya,House,3,3,103,1,2006,0,1,1,0,1,1,1,2,170,24200000
Northern Province,Rulindo,Tumba,Mansion,6,6,421,1,2023,0,1,1,1,2,1,2,2,1860,268700000
Southern Province,Nyamagabe,Mwogo,House,1,1,60,1,1995,1,1,1,1,1,1,0,0,200,13800000
Southern Province,Nyamagabe,Nkomane,Villa,3,2,106,2,2012,0,1,1,1,2,2,1,2,260,34600000
Southern Province,Huye,Rusatira,House,4,3,124,1,2023,1,1,1,1,1,0,2,1,200,36500000
Western Province,Rubavu,Rubavu,House,3,2,93,1,2001,1,1,1,1,2,2,1,1,380,28100000
Western Province,Karongi,Murambi,Villa,3,3,133,2,2004,1,1,1,1,1,0,1,2,270,35500000
Kigali City,Kicukiro,Kagarama,Apartment,1,1,36,2,2012,0,1,1,1,1,2,0,1,150,20600000
Kigali City,Gasabo,Jabana,Mansion,5,4,192,3,2017,0,1,1,1,2,2,2,2,300,200800000
Eastern Province,Kayonza,Ruramira,House,4,4,164,1,2012,0,1,0,1,1,2,1,1,560,66400000
Eastern Province,Ngoma,Rukumberi,Villa,3,3,150,1,1999,0,1,1,1,2,0,1,1,580,45000000
Western Province,Karongi,Mutuntu,Mansion,4,3,185,2,2005,1,1,1,1,1,0,1,1,860,79300000
Kigali City,Gasabo,Kinyinya,House,3,2,110,3,2014,0,1,1,1,0,2,1,1,520,104600000
Kigali City,Gasabo,Kinyinya,House,4,4,179,1,2001,0,1,1,1,2,1,2,1,830,154800000
Western Province,Ngororero,Nyange,Apartment,3,3,91,2,2009,1,1,1,1,1,1,1,1,150,23000000
Eastern Province,Ngoma,Murama,Apartment,1,1,52,2,2000,0,1,1,1,1,0,1,2,90,9500000
Southern Province,Ruhango,Kinazi,House,4,3,129,1,2021,1,1,1,1,1,2,1,2,220,47000000
Northern Province,Gicumbi,Manyagiro,House,2,2,86,1,2024,0,1,1,1,1,1,1,2,290,28600000
Western Province,Rubavu,Bugeshi,Villa,4,4,120,1,2008,1,1,0,1,1,2,1,2,430,46600000
Southern Province,Muhanga,Shyogwe,Apartment,1,1,56,3,1997,1,0,1,1,0,1,2,2,180,12200000
Southern Province,Kamonyi,Nyamiyaga,Apartment,2,1,94,2,2016,0,1,1,1,1,0,1,1,300,26500000
Eastern Province,Kayonza,Murundi,Apartment,2,2,77,2,2024,1,1,1,1,1,2,1,1,150,20200000
Northern Province,Rulindo,Ntarabana,House,5,4,176,2,2024,1,1,1,1,1,1,2,1,460,80400000
Eastern Province,Nyagatare,Mukama,House,4,4,125,2,2021,1,1,1,1,2,2,1,2,210,41300000
Northern Province,Gicumbi,Cyumba,Apartment,3,2,82,1,1998,1,1,1,1,1,1,2,1,380,22900000
Western Province,Rubavu,Rubavu,Mansion,5,4,300,1,2011,1,1,1,1,1,2,2,1,1000,142600000
Eastern Province,Gatsibo,Muhura,House,4,4,118,0,2024,1,1,0,1,2,1,1,1,210,43700000
Southern Province,Nyanza,Busasamana,Mansion,6,6,301,2,2019,1,1,1,1,2,2,1,2,1210,177700000
Northern Province,Rulindo,Cyinzuzi,House,4,4,141,3,2024,1,1,1,1,2,1,0,1,700,71000000
Western Province,Karongi,Mubuga,Apartment,2,2,50,2,2006,1,1,0,1,2,2,1,2,100,13500000
Western Province,Ngororero,Ndaro,Villa,4,4,138,0,2005,1,1,1,1,1,1,1,1,440,41500000
Northern Province,Musanze,Nkotsi,House,3,3,140,2,2003,1,1,1,1,1,1,2,1,410,44800000
Eastern Province,Kirche,Mpanga,Apartment,1,1,41,1,2011,1,1,1,1,1,1,1,0,130,9700000
Eastern Province,Gatsibo,Murambi,House,4,3,176,0,1996,1,0,1,1,0,2,0,1,640,44400000
Western Province,Nyamasheke,Shangi,House,4,4,123,1,2005,0,1,1,1,2,1,1,2,570,46500000
Northern Province,Rulindo,Ntarabana,Apartment,2,1,94,2,1998,1,1,0,1,1,2,0,1,290,19900000
Western Province,Rusizi,Mururu,House,5,4,232,2,2009,1,1,0,0,0,2,0,2,410,78400000
Northern Province,Burera,Cyanika,House,3,2,124,2,2023,1,1,1,1,2,1,1,1,450,43500000
Northern Province,Gakenke,Mugunga,Apartment,2,2,56,2,1996,1,1,1,1,2,0,2,2,150,16500000
Southern Province,Nyanza,Kibirizi,Apartment,3,2,78,1,2007,1,1,1,1,2,2,1,0,370,23600000
Western Province,Ngororero,Kabaya,Villa,3,2,116,1,2015,1,1,1,1,1,1,1,0,580,43400000
Northern Province,Musanze,Gacaca,House,4,3,220,3,2012,0,1,1,1,1,2,0,2,730,106500000
Eastern Province,Kirche,Mpanga,House,3,2,90,0,2025,0,1,1,1,1,0,0,2,220,26300000
Southern Province,Gisagara,Ndora,Apartment,3,3,89,0,2013,1,1,1,1,2,0,2,2,310,25900000
Northern Province,Burera,Rusarabuye,House,3,2,159,2,2015,1,1,1,1,2,2,2,2,320,56500000
Southern Province,Ruhango,Kabagali,House,3,3,79,2,2024,0,1,1,1,0,2,1,1,240,31200000
Northern Province,Gakenke,Karambo,Apartment,2,1,50,2,1997,1,1,1,1,1,0,1,1,140,12000000
Southern Province,Muhanga,Mushishiro,Villa,3,2,128,1,2016,0,1,0,1,1,2,0,2,510,44600000
Eastern Province,Ngoma,Karembo,Mansion,6,5,399,2,2025,0,1,1,1,1,1,1,1,1570,200900000
Eastern Province,Gatsibo,Kiziguro,Mansion,5,4,249,1,2017,1,1,1,1,2,1,2,2,610,98700000
Southern Province,Huye,Kigoma,House,3,3,136,2,2003,1,1,0,1,2,1,1,1,440,35800000
Kigali City,Gasabo,Nyarutarama,House,3,2,92,2,2017,0,1,1,1,2,2,1,2,370,79800000
Southern Province,Huye,Tumba,Apartment,3,2,87,2,2018,1,1,1,1,1,2,1,2,180,24400000
Western Province,Rusizi,Mururu,House,3,3,104,1,2015,0,1,1,1,0,2,0,2,360,33300000
Southern Province,Ruhango,Kabagali,Apartment,1,1,44,3,2005,0,1,0,1,1,2,0,2,110,9300000
Western Province,Rusizi,Mururu,Apartment,1,1,50,1,2003,1,1,1,0,1,1,1,2,170,10800000
Eastern Province,Rwamagana,Rwamagana,Villa,3,2,156,1,2016,1,0,1,1,1,1,1,1,470,46700000
Western Province,Rubavu,Mudende,Villa,4,4,213,3,2011,1,1,1,1,2,2,0,0,990,120900000
Western Province,Rutsiro,Rusebeya,Villa,3,2,144,1,2010,0,1,0,1,0,0,0,2,410,40900000
Northern Province,Gakenke,Minazi,House,3,2,152,0,2000,1,1,1,1,0,2,1,0,340,33900000
Southern Province,Muhanga,Mushishiro,House,5,5,236,3,1996,1,1,0,1,1,2,1,2,530,76800000
Northern Province,Musanze,Rwaza,Mansion,5,4,227,2,2004,0,1,1,1,1,2,1,2,830,99100000
Southern Province,Gisagara,Musha,Mansion,5,5,182,2,2022,1,1,1,1,1,2,1,2,490,74300000
Northern Province,Rulindo,Cyinzuzi,House,2,2,80,2,2024,1,1,0,1,1,2,0,0,260,27400000
Western Province,Nyamasheke,Karengera,Apartment,2,2,93,1,2025,1,1,1,0,1,2,1,0,310,26700000
Eastern Province,Kayonza,Nyamirama,House,2,2,94,3,1997,1,1,1,1,1,1,2,1,300,24600000
Northern Province,Rulindo,Ngoma,Apartment,2,1,95,1,2018,0,1,1,1,1,1,1,1,220,23100000
Southern Province,Nyaruguru,Ngoma,Apartment,3,2,90,3,2009,1,1,1,1,1,2,1,1,210,28500000
Eastern Province,Ngoma,Zaza,Apartment,2,1,74,2,1997,0,0,1,1,2,2,1,2,250,15100000
Eastern Province,Gatsibo,Muhura,Mansion,6,5,449,1,2013,0,1,1,1,2,2,1,2,950,166300000
Northern Province,Burera,Cyeru,Apartment,2,2,56,2,1996,1,0,1,1,0,2,0,1,180,14000000
Western Province,Nyabihu,Rugera,Apartment,2,2,83,3,2016,1,1,1,1,0,1,1,2,380,31200000
Northern Province,Burera,Butaro,Apartment,1,1,44,0,2012,1,1,1,1,1,0,2,0,210,9800000
Northern Province,Burera,Rugengabari,Villa,3,2,135,2,2019,1,1,0,1,1,2,0,1,370,41100000
Northern Province,Rulindo,Masoro,Villa,3,2,151,2,2004,1,1,0,1,1,1,1,2,380,44100000
Eastern Province,Bugesera,Mayange,Apartment,1,1,42,1,2014,1,1,0,1,2,2,2,2,200,9600000
Western Province,Nyabihu,Bigogwe,House,2,1,82,2,2017,1,0,0,1,1,2,2,1,280,20200000
Kigali City,Kicukiro,Nyarugunga,House,3,3,150,2,2006,1,1,1,0,0,2,2,1,470,111900000
Western Province,Rubavu,Mudende,Apartment,1,1,45,2,2025,0,1,1,1,2,2,2,2,80,12500000
Western Province,Karongi,Gishari,Apartment,2,1,77,1,2009,0,1,1,1,0,2,2,2,370,23600000
Kigali City,Kicukiro,Kicukiro,House,2,1,72,0,2005,1,1,0,1,1,2,0,2,140,38500000
Eastern Province,Rwamagana,Karenge,House,4,3,136,2,2001,0,1,1,1,2,0,1,0,460,44500000
Eastern Province,Kayonza,Mukarange,House,4,4,120,2,1995,1,1,1,1,1,1,0,2,210,31900000
Eastern Province,Nyagatare,Musheri,Mansion,5,5,203,2,2002,1,1,1,1,1,0,1,1,820,83800000
Southern Province,Kamonyi,Musambira,Apartment,2,2,70,1,2000,1,1,1,1,1,2,0,1,230,14800000
Kigali City,Nyarugenge,Nyamirambo,Mansion,5,4,286,3,2012,1,1,0,1,2,2,1,1,1010,274300000
Western Province,Ngororero,Kageyo,Apartment,2,2,57,2,2005,1,1,1,1,2,2,1,1,130,13500000
Southern Province,Huye,Kigoma,House,2,2,91,3,2023,0,1,1,1,2,1,2,1,430,29900000
Southern Province,Kamonyi,Mugina,Apartment,1,1,51,2,2019,1,1,1,1,2,2,1,1,100,13100000
Eastern Province,Gatsibo,Nyagihanga,Mansion,4,3,204,0,2017,1,1,0,1,1,2,2,2,390,68500000
Eastern Province,Kirche,Mahama,House,3,3,117,2,2018,0,1,1,1,1,0,1,2,190,33700000
Eastern Province,Rwamagana,Munyiginya,Apartment,1,1,33,2,1995,0,1,1,1,1,2,1,2,90,7300000
Southern Province,Muhanga,Rongi,Apartment,1,1,46,0,1998,0,1,1,1,1,2,0,1,120,7700000
Kigali City,Gasabo,Kagarama,House,3,3,145,1,2018,0,1,0,1,1,1,1,2,500,131600000
Southern Province,Kamonyi,Karama,House,4,4,153,2,2023,1,1,1,0,2,2,2,1,760,67200000
Eastern Province,Rwamagana,Nyakaliro,Mansion,5,4,210,2,2001,1,1,1,1,1,2,1,2,1030,75800000
Eastern Province,Kirche,Nasho,Villa,4,4,150,0,2016,0,1,1,1,1,0,1,1,730,59000000
Western Province,Ngororero,Kageyo,House,5,5,177,1,2006,0,0,1,1,0,0,0,2,710,72200000
Eastern Province,Bugesera,Juru,House,3,3,147,2,2008,1,1,1,1,1,1,1,2,340,46300000
Western Province,Nyamasheke,Cyato,Villa,4,4,220,0,2008,1,1,1,1,2,1,1,2,540,76900000
Western Province,Nyabihu,Mukamira,House,3,2,149,0,2021,1,1,1,1,1,2,1,2,610,46700000
Northern Province,Musanze,Rwaza,House,4,3,166,3,2020,0,1,1,1,0,1,1,2,750,99800000
Western Province,Nyabihu,Kabatwa,House,2,2,94,2,2013,1,0,1,1,0,2,0,2,260,29300000
Northern Province,Gakenke,Busengo,Villa,5,5,238,3,2004,0,1,1,1,1,2,1,2,1130,111800000
Northern Province,Gakenke,Muhondo,Mansion,5,5,311,1,2016,1,1,0,1,0,2,2,2,610,137900000
Southern Province,Huye,Gishamvu,Villa,5,5,212,2,2006,1,1,1,1,2,2,1,1,930,105500000
Eastern Province,Rwamagana,Gahengeri,Villa,4,3,179,2,2017,1,1,1,0,1,2,2,1,860,70100000
Northern Province,Gicumbi,Kageyo,Apartment,2,2,76,0,2004,0,1,1,1,1,2,0,2,140,14900000
Western Province,Nyamasheke,Kagano,House,4,3,136,2,2005,0,1,0,1,2,0,0,2,450,40200000
Western Province,Nyamasheke,Karambi,House,4,4,127,3,2025,1,1,1,1,1,2,2,1,320,48600000
Eastern Province,Bugesera,Ngeruka,House,4,4,111,1,2024,0,1,1,1,2,2,1,2,370,39700000
Western Province,Rutsiro,Mukura,Villa,3,3,123,3,2008,0,1,1,1,2,2,0,2,460,40100000
Kigali City,Gasabo,Gisozi,House,3,2,119,3,2003,1,0,0,1,1,2,1,1,270,99700000
Western Province,Rutsiro,Mukura,Apartment,2,2,71,1,2000,1,1,1,1,1,2,1,2,310,16700000
Eastern Province,Rwamagana,Munyiginya,Apartment,2,2,99,1,2015,0,1,1,1,1,2,2,1,410,25800000
Southern Province,Gisagara,Kibilizi,Apartment,1,1,31,2,2010,1,1,1,1,1,1,1,2,150,8000000
Southern Province,Kamonyi,Kayenzi,House,2,2,82,1,2009,1,0,1,1,1,1,1,2,390,27200000
Western Province,Rubavu,Nyundo,Mansion,4,4,197,0,2009,1,1,0,1,0,2,0,2,530,74300000
Eastern Province,Ngoma,Kazo,House,3,2,112,1,2003,1,1,0,1,2,1,1,0,370,32000000
Southern Province,Gisagara,Nyanza,House,5,5,244,1,2007,1,1,1,1,1,2,0,0,640,82900000
Eastern Province,Bugesera,Ruhuha,House,3,2,135,1,2006,1,1,1,1,0,2,0,0,600,34200000
Western Province,Ngororero,Ndaro,House,5,4,201,1,2006,0,1,1,1,2,1,2,2,400,82500000
Northern Province,Gakenke,Muhondo,Apartment,2,2,89,0,2017,1,1,0,1,1,2,0,1,290,21400000
Western Province,Nyamasheke,Nyamasheke,Apartment,1,1,38,2,2006,1,0,0,1,1,0,1,1,120,10300000
Northern Province,Burera,Kinoni,Mansion,5,5,308,2,2013,1,1,0,1,2,1,1,2,850,161100000
Southern Province,Kamonyi,Nyamiyaga,Apartment,3,2,88,3,2025,1,1,1,1,2,2,1,1,340,29700000
Western Province,Rusizi,Muganza,Villa,3,3,106,2,1995,1,0,1,1,1,2,1,2,380,34100000
Southern Province,Kamonyi,Karama,Apartment,3,2,93,0,2009,0,1,1,1,1,1,0,2,370,24000000
Eastern Province,Ngoma,Mugesera,House,2,1,99,0,2010,1,1,1,1,2,1,0,2,390,27200000
